metric,xgb_holdout,mlp_holdout,winner
auc,0.9946445369553288,0.9912186649832182,xgb
accuracy,0.9746918250890634,0.969173641981147,xgb
precision,0.11265608245996334,0.09394941408516069,xgb
recall,0.9896687936797326,0.9841993315101792,xgb
brier,0.020575571805238724,0.024624239653348923,xgb
ece,0.02616498050043382,0.031709202478659756,xgb
