fold,xgb_auc,mlp_auc,xgb_acc,mlp_acc,xgb_ece,mlp_ece,n_val
1,0.9934522782065704,0.9899213757442749,0.96496,0.95976,0.035405965880141034,0.04397204222334705,50000
2,0.9518191855487416,0.9236031271441322,0.8646,0.88236,0.13104336992751184,0.10929558365047869,50000
3,0.9374455183024196,0.8937669468292938,0.79574,0.7929,0.195391546099693,0.18074977808038822,50000
